TardistheTardis	0.6923791571	0.3062048945	4
Exhalexa	0.7125872196	0.1668030433	4
OL Thomas	0.772156154	0.1787689738	3
SinisterShovel	0.7296524064	0.1531751424	4
Brandy?	0.7072337756	0.1738899405	3
ThePinkBunnyEmpire	0.7427507912	0.2540727142	4
xXBombs_AwayXx	0.7222875028	0.2274150539	6
Cygnus	0.7125001037	0.1880526205	5
NorthEastBenefactor	0.713592649	0.10679885	4
GrayTheSmart	0.6705608446	0.3490872603	5
Christianosc	0.628952584	0.2518336109	4
spooky.phd	0.677843802	0.2345916248	3
goobrey	0.7053402916	0.1987766539	5
cereseries	0.6395973147	0.2685888081	5
Thane	0.7037454772	0.1915274146	4
Artaz	0.6742030338	0.2245614558	4
terminatedslime	0.7401637292	0.1570806248	3
TaxEvader24	0.6387663703	0.2753023057	1
chichinitz	0.6843665586	0.211972586	4
YoshiAwesum	0.6574864691	0.3069277319	6
la rivbi	0.7551637817	0.1644100863	4
BFBFan5346	0.6959726338	0.2351338787	3
DatHam	0.7554345482	0.1809686773	5
cakebrunch	0.6677586474	0.3256394033	4
knuxchux	0.7088932752	0.1994815845	5
NormalPersonNormalName	0.6606829477	0.2132250512	5
The Great And Mighty Waffle Captain	0.7100435091	0.2082384496	4
Flambeetle	0.7227524166	0.2108581374	5
hyfin	0.7071982118	0.1683681764	4
Parallel Paperbacks	0.6726537999	0.1771308477	5
Magnetty Boy	0.6638001972	0.2486396328	3
Hazel Cricket	0.6734916208	0.2135411062	4
Cpink	0.7300433448	0.2762285488	6
Ballam	0.7087239352	0.2053067641	4
Epsilon	0.692297876	0.2994447424	5
Ren	0.7489563218	0.1869120018	4
geobica	0.6898403407	0.2482463528	6
Izzeee	0.606826389	0.2983912792	5
Kraezy Dude	0.6594845456	0.1462576394	1
cashedcredits	0.6535452658	0.2573571458	4
galactika!	0.68565157	0.1764398546	4
Meowicat	0.7155714503	0.2696304948	4
Evolt	0.7161122095	0.2240395927	5
Unofficial Spaghet	0.6363103115	0.2546389927	6
MysteriousGrimReaper	0.6735332707	0.2575570182	3
RiccoBaldo	0.647051666	0.257753929	3
ramen powder	0.6665248909	0.2695765299	2
Andyman	0.6331831788	0.2521291725	1
Cam & Tori	0.6855472974	0.1998771996	5
DatFatCat137	0.7021484902	0.164701607	4
Sbarb	0.7151125221	0.1210167334	3
Lord of the Sheep	0.6866331791	0.21092651	4
Maildropfolder	0.7106894185	0.2186676423	4
squindigo	0.6072353	0.3270539584	4
Daylune	0.6283741088	0.2340346896	4
BoostGlitch357	0.6718219009	0.1949637046	2
Rora_Bori39	0.6621991921	0.218131938	5
Window Paine	0.6514936842	0.1509649499	5
Lego	0.6168065069	0.2477178323	3
CookieCrisp	0.6814303163	0.295999779	5
MrObjects	0.6237563739	0.226099843	3
OveCZ	0.6864655789	0.1857024711	4
simp4march7	0.7085868701	0.272014019	3
Earth Plume	0.685260197	0.2273440351	5
DogeBone3	0.6411068339	0.258421041	3
s.eptember	0.6780032703	0.1803372895	4
Remy	0.6905053846	0.2034557221	4
TheMJKWorld	0.697002249	0.168504407	4
PoliteCheese1414	0.7086287281	0.1883460033	5
FROGLOCK	0.691991701	0.2288903067	5
Basil Star	0.6030609822	0.2421259607	5
Verigold	0.6319351057	0.2681225977	4
2 Laws	0.6566745891	0.1821308742	3
taopywagon	0.5742758639	0.3100312367	4
Rex Knight	0.6422237134	0.254957429	2
ACN	0.6811335762	0.2012999464	3
Deficiency	0.7054014005	0.1323934213	3
Isaac JoRo	0.5835584889	0.2791124291	3
Koopa472	0.7073309835	0.1394139516	4
Zelaznog92	0.6740505249	0.1948493284	4
Jakiller	0.6793505517	0.2045662092	4
Coding Ant	0.6609348164	0.1229569877	3
CloudySkyes	0.6915155229	0.2298273379	5
BradExplodes	0.7092300078	0.2003913537	4
Riley	0.6361780843	0.1763474864	1
SaddleBag	0.6559482548	0.1830324653	2
AwesomePig7	0.5996641315	0.1974015618	5
COTTo	0.710250203	0.1648711603	4
ElevenWordsOfWower	0.7002685729	0.2220819226	4
Kiwiyum	0.6726949591	0.2376603004	5
BubbleTii	0.6227338292	0.3757235907	5
MrShrimp	0.6514465708	0.2403642487	5
Pink man	0.5840073726	0.3099631728	5
Pacman2022	0.6651094828	0.2190482021	4
AstralBlob	0.6630221543	0.2251275267	1
MrDell47	0.6751919863	0.1875947605	4
WholeNote1	0.6596313344	0.2013119631	4
Tomorand	0.6482623795	0.209351167	4
Dan Quixote	0.6365773319	0.2124006801	3
MelnSlce	0.6975806341	0.1475080598	3
funnydoggggggggggggggggggg	0.6451184462	0.2326840307	3
PizzaEnjoyer	0.7195381266	0.2252321611	5
CanofBeans36	0.6898315526	0.07811364559	3
YellowNote	0.6704987102	0.1907677324	4
QLF9	0.6068277538	0.202836259	4
A Phlox in Flux	0.6602696501	0.2418830876	2
SnowyDayz	0.6306539226	0.2813469607	3
PenSteel	0.6858939961	0.2326188866	4
Among Us Enjoyer	0.7041239352	0.1923466778	3
Marbles32	0.6164629962	0.2257448868	3
cat copnt	0.6196359856	0.1888431723	2
Wildz	0.6793185266	0.2545008917	3
Kapuccino	0.6150433624	0.1747653031	1
Lyrical TyrAnt	0.6893891401	0.3144168459	5
Ragum	0.6340925057	0.2694683551	4
rockbeast9000	0.6862568255	0.269862706	4
Dumb Stuff	0.6522066249	0.2164098841	4
Terrasol	0.6250476644	0.237142065	3
RobertoDeMundo	0.598081685	0.2926529294	3
Algo.00	0.5749103475	0.2614288129	4
playbook	0.6060849455	0.2064386573	5
legotd61	0.5882784667	0.35301324	1
Double ZeroB	0.8043870181	0.1660774309	1
TheMightyMidge	0.5882629166	0.2247526	3
toadeightyfive	0.6527955723	0.1390394472	3
Hunter J	0.5958646654	0.1737040438	4
Tetrian22	0.7240672301	0.2581095845	4
ilo Poki	0.616740639	0.2220204827	3
Alias.Exitor	0.6786026598	0.1455746905	3
Smudge	0.7005610273	0.2544817205	4
Meester Tweester	0.583259701	0.1869057269	3
Real Reed	0.6432078063	0.158480563	3
pewpewbeach	0.6204306145	0.228163202	3
Zera	0.6502588432	0.237878127	3
Lord Farqiplier	0.6421050117	0.1607263442	4
Slimbish	0.6437628252	0.2395496443	4
Alley%	0.6356077842	0.2355431256	3
Frostmunch	0.652798286	0.1433239041	4
TheMixedMaster	0.6172160167	0.1935618718	4
Tulip System	0.6488779055	0.2204135673	4
Blaze	0.6228104064	0.2577526132	3
pokeysoda	0.6524212972	0.2175303547	4
Mitochondrial Bob	0.6617794424	0.2730407449	3
kimikoazuma	0.6888127066	0.2381933802	3
supernova16	0.6095257961	0.20911172	4
Nateo	0.6157799562	0.2630485052	4
Finnimations	0.6099940637	0.1555832248	4
tauttie	0.6147898664	0.2391735348	4
Azurite	0.6464292226	0.2806733828	5
golfballbfdi	0.6619613947	0.2049703988	4
EeveeLuv	0.6410100367	0.2221529169	4
Blueshark	0.614030204	0.2391155534	5
Zaffricious	0.6660866586	0.2236682529	4
St4rry_Ski3z	0.6817129287	0.2274675593	5
Anko6	0.6373661067	0.2692587145	3
3SidesInASquare	0.4981227982	0.3000632074	3
CardboardAirplane	0.5953485989	0.1668383702	4
Aleph Squirrel	0.5649204977	0.305410611	2
ConvexProjects	0.6151441903	0.2932878884	5
Shiny	0.7192104368	0.2681179917	3
avocadoexists	0.622612475	0.3337372431	3
SuperStick Productions	0.5934348559	0.2372677008	5
Starmax	0.6692020366	0.2150632397	1
smnsr05	0.6170723391	0.1447467654	4
smil	0.6770460975	0.2303790044	4
Laurceny	0.60564201	0.2449601893	5
LemonVenom	0.6589599791	0.2284969805	4
ashaisasmasha	0.6885639031	0.2978761868	4
Swift Smartypants	0.63818147	0.1147601701	3
Numberi	0.5477034356	0.1969506551	4
FlamingFish	0.6722858833	0.1664389596	3
uPlatm	0.7094739303	0.3012347174	4
HeartOne	0.6325175777	0.2040744716	4
RoyalMike	0.5649467717	0.1958231358	5
figgyc	0.5952512728	0.1948782067	2
AzureyCentralix	0.5805573799	0.3056726473	3
fane757	0.6430805876	0.2638651977	5
CrowB#	0.6199054246	0.1949617209	4
Fecto Forgo	0.5570508109	0.31889144	2
MedioLitro	0.5654035542	0.2566687506	1
We Now Productions	0.5806984127	0.1984285736	3
smoov22	0.6891583395	0.3049801377	5
Pigeon Boy	0.5988898664	0.2073517792	4
Plebster	0.5289430927	0.2298040706	3
Sleepless Sparrow	0.5568056843	0.1501560513	4
μ	0.5239537137	0.2503154851	2
BorisShoes	0.5711922422	0.2201001373	3
nuthatch	0.6519212771	0.2888929031	4
Wie	0.5800245288	0.1501471069	3
Cychlo	0.5665791337	0.2396858354	3
Irufusetochangemyprofilepic	0.6467005588	0.1375822992	3
Nihonium_LTE	0.6588227361	0.1392462421	3
amey	0.5758902814	0.2692383851	3
eyBHellolleHBye	0.6452457906	0.2273526798	3
spooky salmon	0.6652588485	0.244184828	2
Americatress	0.6349844072	0.2335187593	5
HexaForce	0.6372573033	0.2424337196	3
BooTuBe	0.609364646	0.190720175	1
Indigo	0.8100270788	0.1738743066	5
Gamey Gaming	0.6168770533	0.3163812245	4
EvieWurtz	0.5777256632	0.2134558262	4
stone bone	0.5620048871	0.2513053269	4
Air Skittles	0.6242213655	0.1197589306	3
BrokenSink	0.6125335382	0.2270450413	4
IMC	0.5359977888	0.3142456032	3
MrRainCloudy	0.6018330869	0.3009418212	4
normalben	0.584829507	0.3314860641	4
myworld3	0.623280031	0.1889139209	4
Lithium	0.5872262243	0.2316772891	3
ikiller	0.6121411665	0.2489694132	2
Metagross_HRV	0.5107040509	0.2934871146	4
Augie279	0.5951402033	0.2575459702	3
Desh Jakobsson	0.6587808637	0.237049629	2
That Nerd Albert	0.6541355108	0.2478910261	4
Lisbon Mapping	0.5548818951	0.3194261265	3
PlasmicTrojan	0.6549939084	0.2280730342	2
Phant0mInfinity	0.5722206729	0.2347913415	3
hydrogencitrus	0.6366635633	0.2717367629	2
PriceTagFanatic	0.6199390504	0.2254999085	3
goikyite	0.6459700488	0.2809981258	3
Jemuon	0.4822632294	0.3287238583	3
Sushi Hippo	0.6397802316	0.300620527	2
Jacktastic	0.5131455261	0.2448762796	3
s83757	0.5637126262	0.308710011	4
cheezdoodlesfan	0.5452082635	0.1927286538	2
RattieThe_Ratt	0.527232202	0.2854482707	4
Moo_Maximus	0.5630207449	0.2898052448	2
Fire Miner	0.5389313249	0.3170960486	3
Graysandwich	0.58755618	0.2372419752	3
Sunken Octopus	0.5686186918	0.2251760377	3
BigBeter	0.5857404774	0.2051453751	3
Coyoboyo	0.5121356716	0.2731260555	3
Fenufreek	0.6552800581	0.2048427271	2
Fre	0.6326593097	0.2317286308	3
EWOWsers-AJL	0.5948288143	0.3560877366	3
LedybruhGuy	0.6273763399	0.2069319451	4
Strawburri	0.6059575487	0.234648342	2
Mikl Pickle	0.6359950524	0.2092602406	4
Lens da Vinci	0.6002016447	0.2851114408	1
DancingDog	0.849235663	0.05481322378	1
mrjellyfish2	0.5161711061	0.2899125078	2
Cocoa	0.6254367755	0.155620404	3
SnowbledenOne	0.5356762103	0.278209885	3
Shadowleafy	0.523475473	0.3182183073	3
Beine	0.5790364258	0.2554888092	3
BOWLER606	0.6236390091	0.2296255109	3
coder01	0.5805257009	0.2511084761	3
HriHof	0.6035354853	0.1682915173	3
Ixcors	0.5899753129	0.1971030313	4
Leopardsun	0.6645325063	0.3240613514	3
KnotKoda	0.4910905911	0.2519079687	2
toast	0.6368699808	0.2932466663	3
InfiniThreat	0.5588519814	0.261121294	3
Triko	0.6025333651	0.3132820087	2
Reed	0.5214149604	0.357046698	3
The Ilucuthen Empire	0.5595998259	0.2608590834	4
Catakira	0.5399912235	0.1840213491	2
SuomiNamco	0.6171809804	0.3070564117	1
BlackBird_6	0.5117710329	0.2519732642	3
Dawncy	0.5224810832	0.346936541	4
Frosty Cat	0.5294966246	0.2599812647	3
C.Hizzle	0.567800848	0.309669027	3
BrendanTW	0.5803794882	0.3461731024	4
Mudkip	0.5728259218	0.2877314818	3
ExtantChain	0.5270570148	0.1943394041	3
COCOATWIX	0.63914312	0.2651580095	2
Eddie “DeeandEd”	0.5242674874	0.288797823	3
alexa.fig	0.4997208524	0.2271606494	3
Gummy Pikmin Productions	0.565343267	0.2554404631	2
CreepingCretinousCreature	0.5473593528	0.1927165214	2
Lumenosity	0.6043612818	0.2927783179	2
Frix	0.5176444168	0.2158305695	3
Krimpybob	0.5793445665	0.2804974296	3
Zafiarox	0.5376448248	0.2677735918	4
definitelynot.	0.6190047082	0.2732370151	3
woodmango	0.5929386167	0.2888817461	3
RWBYraikou888	0.5605041826	0.1454399676	4
Jac4	0.6238785076	0.2084344863	2
DJBC	0.5711374644	0.3254011917	3
SoupAnd2Sticks	0.5958971712	0.2782145012	4
TheAngryBird95	0.6389308107	0.2983071454	2
Animat3DD	0.5692129178	0.2691416301	2
Villagerslime	0.6128788801	0.2083751481	4
Melecie	0.5860495969	0.201693105	2
Nowhed	0.5638505815	0.3057590912	3
The Ice Elemental	0.6031897155	0.2437523006	2
MarioFan	0.5932380482	0.2627570352	3
xtrimi	0.589724317	0.2378465524	4
Kapco	0.5935462888	0.156293347	3
Majikab	0.5280742699	0.2161490833	3
Skivint	0.4848789948	0.3383815615	3
Hypercube34	0.5140952688	0.1922347554	3
starlight	0.5995683578	0.2233638256	3
DarcyDrawz	0.4701758631	0.2801057057	3
xpartyhat	0.6125830888	0.2548289673	3
Neonth	0.550999055	0.2497385	2
Skippery45	0.6007233336	0.2446801617	4
DiamondShard87	0.607960792	0.2828785886	2
Mandragora	0.5923148147	0.1615553874	3
FerretBandit	0.6785138279	0.2908045518	5
WeirdKid361	0.5725066448	0.2147840262	4
alesonbrjk	0.5428776748	0.2795989436	1
AnArtichoke_	0.5789893094	0.2378008405	3
Mercuri	0.6112553675	0.2573702025	4
JayTeeDee	0.5351439447	0.2256850626	2
Davoid	0.5231853536	0.3218926115	1
MythicalMoon_	0.5648659795	0.2914345887	2
Dealan	0.5187144712	0.1501404019	2
Dimedime	0.6313354127	0.2132766906	3
Orange Cary Superfan	0.5736537999	0.1778495733	3
MarshyMage	0.5716692999	0.251806289	3
furret stonks haha	0.5487498153	0.1764861982	4
tekhawaii	0.7781335026	0.199267945	5
Sausiiie	0.5487520676	0.2235527681	3
StroBerry	0.5967922869	0.243419428	3
harmonybot	0.5257563794	0.3635368774	2
JezzaCozzie	0.6363835758	0.2788945162	1
SargeinCharge	0.5866842496	0.267194433	3
1212DENIS	0.5967569184	0.2638513054	3
Randomtrr2	0.6310931981	0.3300032463	4
Tau XXXIII	0.5417359682	0.1155598992	3
roxyisrad	0.4533521571	0.2830403615	2
YellowElectric	0.5718139639	0.2414072955	5
It's Brick	0.5720724175	0.291687131	3
Blake at Stake	0.5548395223	0.2581711157	3
Tsskyx	0.4964767838	0.1932895869	3
Noonereally	0.5961700887	0.1683698113	3
Daquan Huang	0.4982421448	0.2862783151	3
JCL Kaytwo	0.573953714	0.1684245889	3
noef	0.8182633214	0.09868029977	3
PizzaSquish	0.7869939991	0.1332625656	2
AHumanIThink/Whirlpool730	0.5592959441	0.2242871654	3
JoseyPosey7	0.4977077789	0.3139953497	3
TheFlyingChicken	0.5564295748	0.258055339	3
Jeda Five Seven	0.5323745097	0.3069461177	1
Gowa	0.5229430094	0.1969768127	2
Wenyunity	0.6091669454	0.1806938093	2
BezelCat2	0.5558928144	0.2981299289	3
starsword grimoire	0.5706287148	0.2954752233	2
thedogegamer90	0.5632428464	0.2572841457	3
Curtis Bottleton	0.5852828045	0.2079929955	2
SSAANNTTYY	0.4994088203	0.3103660394	2
vheeee	0.4689489451	0.2696276573	2
Poster Man	0.6245081688	0.2515854	2
Mariobrosaa Productions	0.6052945453	0.2325347119	2
Marisa Lyga	0.4774458216	0.2391625268	2
Bolthebro	0.517393621	0.3256791291	4
雨	0.5355200122	0.2185419815	1
tfgui	0.5197467151	0.2275959823	5
Brainbow	0.5223397459	0.1576000801	3
JMPR717	0.5392614594	0.2360977669	3
Chew804	0.646975926	0.3232382077	4
ToadlyCool	0.5283695022	0.2693449262	2
Silverpeng	0.6704141961	0.2534994195	2
ElectricNJ	0.58601162	0.2618311833	4
Nonexistential	0.6147777102	0.2234805732	2
Sapphoenix	0.5668181638	0.1679650584	3
Bo Tie	0.5994008808	0.2891048148	3
ItzShaun	0.5875833298	0.225894336	2
RRandomyy	0.5236118305	0.2294489251	3
MaelstromNitro	0.4996356123	0.286324193	3
Bani57	0.5246592469	0.2170198675	3
AlexExists	0.588811302	0.2278936768	4
Pencil	0.5171963676	0.2644056118	3
GordonBrown2318	0.527977985	0.3708445266	2
MuddyPuddle	0.48657094	0.2646776636	2
Thymes	0.5886985891	0.211945505	2
algodoo_nerd_guy_idk	0.5889473637	0.3312666389	2
Holical	0.5064836321	0.2380975728	3
ba0bo0	0.6217007907	0.2235760391	3
chomik	0.5422230403	0.2682761712	2
someoneelse	0.5788102766	0.1601044391	3
Igorogordo	0.5079479569	0.157508739	2
Creeel	0.5264614905	0.2775667996	4
NavyBlueCyanSky	0.5892847775	0.3138350441	2
Newbie (hi blitz!)	0.5739985178	0.3116134915	2
Bazinga_9000	0.6074587362	0.1922835691	3
Lil Rex	0.4926387665	0.3345279343	3
Twig the Coyote	0.5977048329	0.2264489051	3
Écogie	0.5125363064	0.2755560942	1
Math Enthusiast	0.5283512447	0.2700338655	4
Crafty7	0.5491455702	0.2572672166	3
Tubularity 2304	0.5380232378	0.2514759925	2
マンサノリ	0.5684012792	0.2337268792	1
Saxtim	0.5168995114	0.2958211887	3
PsychoticSonja	0.4572623817	0.3202363516	3
Joe Art Maker	0.4781966293	0.3107707223	2
Violetvixen	0.6205995618	0.2740682223	3
KentuckyBall	0.4522169308	0.2970123414	1
HazelKnight	0.5301229405	0.2794531026	3
Hardback Jones	0.6120038298	0.3288205007	3
Plentelle	0.5670576755	0.3427209077	2
‎	0.537695925	0.1591396519	3
Chad	0.5821772254	0.3179236915	4
Cubeimations	0.6238650988	0.2603497711	3
mistermachiano	0.5594930266	0.1907929438	2
mikey swag	0.5452353763	0.2032910317	3
mateic	0.5230724271	0.2496321201	3
kaisle	0.4224620263	0.3211214653	3
SheaBooter24	0.5527244807	0.3165891034	3
LiquidSpider	0.4564947153	0.2075273694	2
RichyRion	0.5142127411	0.2653400168	2
LaughingGenius	0.4638098131	0.2557966662	3
A minute	0.5429254768	0.205179184	2
Bob Rob	0.5438845871	0.2433073613	3
PotatoNerd	0.4945091806	0.2893668696	3
Anyo729	0.5351378129	0.160984962	3
Pancake	0.512930628	0.1728933789	2
stereocheryb	0.4953497648	0.3000420412	3
Fezabolt	0.5760742905	0.292319722	3
Stickly Stories	0.5187751329	0.1645548193	2
Mortimer Mug	0.492709853	0.2168532198	2
RetroCrate	0.6404072703	0.3047337555	4
Awesome PolarBear	0.5259281359	0.2484985217	3
Duskit	0.5637069234	0.3882911124	3
Ultrachooken	0.5640549921	0.2353998176	3
ManekiNeko	0.5068868943	0.2689967027	1
Picture Planet	0.5409461174	0.2568829777	2
jan Natoku	0.4794084986	0.2736713381	3
luc	0.6067439802	0.3056725802	3
ThePianoGuru	0.594607446	0.2680586961	2
2004froggy	0.5388207538	0.2668141013	2
