Name	Top 5000	Top 1000	Top 500	Top 100	Top 50	Top 10	Top 5	Top 3	Top 1	
Pickleting	0.967000	0.079000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Death Bump	0.946000	0.052000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
The Ice Elemental	0.803000	0.034000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GrindedMustard	0.989000	0.124000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Random Person TJ	0.719000	0.021000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
The Deafh	0.967000	0.056000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Programmy	0.784000	0.035000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
widetide	0.990000	0.125000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Lemony Life	0.989000	0.102000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
oli?	0.972000	0.118000	0.020000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GaretTheGreat	0.987000	0.094000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
daisyspeck	0.973000	0.068000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
JustJack	0.994000	0.138000	0.021000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
RyeGuyWhy	0.790000	0.028000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
That One Penguin Kid	0.959000	0.094000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Stig	0.771000	0.037000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Quercus agrifolia	0.989000	0.149000	0.027000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Litherally	0.991000	0.131000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ewp	0.787000	0.026000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Among Gamer	0.984000	0.133000	0.020000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Realgar	0.995000	0.175000	0.032000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ImaBigNerd	0.985000	0.109000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ThatShowGuy	0.824000	0.026000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Izzey	0.985000	0.126000	0.023000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
starcookie14	0.992000	0.159000	0.030000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Teardrop	0.981000	0.107000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
A minute	0.758000	0.038000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ThatOneZir	0.733000	0.036000	0.007000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
pucha1985	0.994000	0.147000	0.017000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
tschultz	0.990000	0.141000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
des-i-think	0.987000	0.119000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
JUNYA JUNE	0.990000	0.124000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Integer.	0.996000	0.147000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
punyshyuteko5py	0.988000	0.138000	0.027000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
lipu Kijoke	0.844000	0.041000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Ignimbrite	0.704000	0.042000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
LiterallyLies	0.988000	0.147000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
kittycoolcat7	0.992000	0.148000	0.023000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Z01Xy	0.963000	0.135000	0.035000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Walle031106	0.995000	0.111000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
InteleonsInteleonsMoreInteleons	0.800000	0.042000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
whale animation stuff	0.994000	0.147000	0.024000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
bulbasaur-republic	0.726000	0.022000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Acaicheetah22	0.969000	0.135000	0.031000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Green Tea & Coffee	0.819000	0.034000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SonnyMoon	0.979000	0.116000	0.022000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
What a Mouthful	0.994000	0.103000	0.013000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
KarmaticAnimation	0.770000	0.035000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Tulip System	0.987000	0.126000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
JbroComics	0.776000	0.042000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
horizontally spinning rat	0.991000	0.121000	0.025000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Smoll Dee	0.987000	0.089000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Tepicneori TFFBAS	0.974000	0.087000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
UTF	0.800000	0.027000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
n1ghts_starry	0.764000	0.034000	0.006000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
Cashew Rations	0.787000	0.040000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Yapinians	0.979000	0.089000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
marvin keyes	0.959000	0.116000	0.030000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
minecalftree	0.996000	0.151000	0.029000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
scurrvery	0.763000	0.025000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Jorge 420	0.988000	0.100000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
CoderX3	0.989000	0.128000	0.023000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ImperialRed	0.994000	0.120000	0.022000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
turkey	0.983000	0.089000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
leah	0.984000	0.125000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ramon's brainrot	0.951000	0.046000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
DaBrian	0.971000	0.083000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
PuppyRelp	0.959000	0.076000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
otherlego	0.764000	0.041000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Kevin The Cucumber	0.980000	0.118000	0.022000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻⸻�gDio���?X�2ı.�?	0.782000	0.028000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Nailed It!	0.985000	0.126000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ShinyAipom	0.811000	0.028000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Bluenaz	0.983000	0.115000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
TheWaddl	0.783000	0.030000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
That Nerd Albert	1.000000	0.183000	0.034000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Fletch	0.738000	0.027000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Cahlahbio	0.968000	0.075000	0.012000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
Pyos	0.802000	0.031000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Cosmic Crow	0.992000	0.151000	0.025000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
EWOWsers-AJL	0.933000	0.042000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Galakktika	0.761000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Notro	0.990000	0.104000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
publicSpeaker_weaker	0.989000	0.097000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
idkwhatimdoing	0.795000	0.024000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
kona	0.821000	0.022000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
bluu	0.958000	0.086000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Deranged Octopus	0.965000	0.076000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Starzoid	0.693000	0.035000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Toulou	0.741000	0.030000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
PokéLeaf	0.805000	0.026000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ilikecubesnstuff	0.799000	0.036000	0.004000	0.001000	0.001000	0.000000	0.000000	0.000000	0.000000	
HAHA YEAH!	0.782000	0.031000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
That Generic One	0.743000	0.036000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ConnZero	0.824000	0.032000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Ace epok animations	0.668000	0.011000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ctlaserdisc	0.995000	0.141000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SpelingErr	0.951000	0.111000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ExasperatedMagentaLuma	0.993000	0.148000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Bro And The Chick	0.751000	0.030000	0.007000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
Levinathan	0.987000	0.149000	0.023000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Gao	0.988000	0.110000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
MutantJonny	0.970000	0.048000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Lockstep Mj	0.794000	0.011000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Dollar Store Sketch Book	0.974000	0.077000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ShinyRedExp	0.993000	0.139000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Frozen Fork	0.801000	0.027000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Wildcat	0.781000	0.028000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Théostar	0.993000	0.125000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
MellohiHellohi	0.990000	0.119000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
PhobosTheMoon	0.991000	0.112000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
awfulzed	0.958000	0.054000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
HexAmazon	0.995000	0.138000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
eviled	0.959000	0.058000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Pearlescent June	0.982000	0.067000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Jac4	0.781000	0.026000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Infi-Nerdy	0.797000	0.017000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
daneeko	0.979000	0.080000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
BrowniPop	0.799000	0.023000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
FCHOPINII	0.821000	0.032000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
The Screaming IceCube	0.768000	0.028000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Saakaindzii	0.783000	0.031000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SlashcraftGaming	0.988000	0.103000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GoldenCrafter35	0.727000	0.025000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Yellow_Tiger_672	0.990000	0.108000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
NoSorryIDK	0.988000	0.087000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
HGK	0.815000	0.027000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
EwowForever2763	1.000000	0.163000	0.027000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	
Werrywit	0.996000	0.117000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Precise Potato	0.931000	0.060000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Tubularity 2304	0.730000	0.026000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
raptorgirl413	0.954000	0.063000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Burst Trigger	0.747000	0.047000	0.009000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
Congregation Jumpscare	0.994000	0.129000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Mr Eugene	0.777000	0.023000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Popcorn	0.996000	0.134000	0.020000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
Anonymous Jargon	0.789000	0.037000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
anemiaxd	0.985000	0.110000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
JustAToadBB	0.992000	0.120000	0.024000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
TheFallenPanda	0.991000	0.129000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
The Bangkok Bros (FTM)	0.994000	0.132000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Retterime	0.969000	0.042000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Slimbish	0.988000	0.113000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
void	0.990000	0.147000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ukaikgx2	0.681000	0.031000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
crispchip	0.989000	0.111000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
The Attractor	0.995000	0.106000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Miraculous Zach 707	0.715000	0.012000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
sheriffjarjou	0.987000	0.093000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Mikazuki	0.988000	0.125000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Shamrockpedia Official	0.989000	0.115000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
brnzen	0.794000	0.023000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Bruhd	0.632000	0.006000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Thunderpants	0.752000	0.024000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Absence Incarnate	0.955000	0.060000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SunnysideSplash	0.942000	0.050000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Red Tank	0.959000	0.086000	0.016000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
lotocki	0.711000	0.026000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Yakob	0.992000	0.122000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
KorZen	0.809000	0.043000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Tazcra	0.984000	0.103000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
HexaForce	0.748000	0.022000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
EmirGD8	0.993000	0.095000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Mawilite	0.765000	0.027000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Raccoon	0.991000	0.132000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
lumpyjar	0.957000	0.082000	0.017000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
leiz123321	0.992000	0.077000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
HandsPlasticX	0.735000	0.025000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Atlaski	0.994000	0.118000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
South-A-Cola	0.991000	0.099000	0.013000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Fish Gaming	0.770000	0.028000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
lightningmatt	0.959000	0.087000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
DrippyBender	0.973000	0.069000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Lolwut	0.808000	0.027000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SlushieCloud	0.730000	0.045000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Raspberry Spice Latte	0.748000	0.021000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
NotNate	0.726000	0.041000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Dimedime	0.986000	0.086000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
funee j. face	0.930000	0.039000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
13 Drus	0.990000	0.111000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
How to Cook Ramen (For Beginners)	0.985000	0.108000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
CandySweet613	0.958000	0.070000	0.013000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SeahawkzSK	0.964000	0.050000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Jamesanity	0.978000	0.079000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Lacbat	0.972000	0.110000	0.023000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Bogsteram	0.990000	0.107000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
XericIsNotMyName	0.950000	0.051000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
rockbeast9000	0.733000	0.024000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
vvg_lol	0.754000	0.027000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
conder	0.778000	0.039000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
RapidRains	0.990000	0.116000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
LimeGreenTeknii	0.986000	0.103000	0.019000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
mikey swag	0.993000	0.121000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
dzinerKing	0.749000	0.024000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Alem	0.988000	0.154000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Kyle Animation Studios	0.725000	0.044000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Whiney Smiley	0.984000	0.131000	0.016000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	
SamTheCookieLord	0.736000	0.015000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
rustMotherboard	0.989000	0.115000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
SeamusTV	0.952000	0.041000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Arkent	0.956000	0.048000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
snowymate	0.747000	0.035000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
someoneelse	0.993000	0.127000	0.014000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
leapfroggrr	0.994000	0.149000	0.017000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
YaGalSamy	0.965000	0.056000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Wot in Tarnation	0.967000	0.096000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Jurta	0.992000	0.122000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
FondantApple冰块	0.975000	0.077000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
blob	0.785000	0.024000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Quadruple Integrate	0.812000	0.027000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Plutoniumcube	0.763000	0.015000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
somethingyoucanignore	0.986000	0.076000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ijo pali	0.762000	0.017000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Humbugswax	0.950000	0.043000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Carly the Apple	0.796000	0.024000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
ultimate chiller	0.990000	0.109000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
leafpei	0.696000	0.023000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
xNebular	0.747000	0.024000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
JoobnoobViper	0.995000	0.124000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
One hundred and eleven cats	0.962000	0.064000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
PojoJants	0.781000	0.022000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
MixProgram	0.967000	0.047000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
FluffyDonut	0.728000	0.028000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GiveYouUp	0.761000	0.022000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Milky.Waves	0.988000	0.105000	0.013000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Tobi Boon	0.751000	0.020000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Zenollo	0.993000	0.110000	0.015000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
H. W. A. Shoehorn	0.990000	0.121000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
breathUralic	0.730000	0.037000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Flaming	0.989000	0.129000	0.020000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Natures skyline	0.710000	0.022000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Golden	0.982000	0.066000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Toki Pona	0.977000	0.063000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
AverageCupcake	0.758000	0.014000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Chirpy Chips	0.989000	0.080000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
CutDatCheez	0.974000	0.062000	0.008000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Kokopuffs	0.993000	0.088000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Twyforce	0.988000	0.120000	0.018000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
toast	0.946000	0.048000	0.009000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Aritzed.Rio	0.746000	0.025000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
harrietburris991	0.986000	0.085000	0.010000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Shriveborn the Second	0.989000	0.093000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
"Mr. Ottoman"	0.736000	0.025000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
GregsPlayzTWOW	0.960000	0.096000	0.023000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
cubingrules2763	0.788000	0.019000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Eldritch Lobster	0.953000	0.053000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
okamii	0.951000	0.040000	0.006000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
alligatormantheBFDIfan_3483	0.705000	0.022000	0.004000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Wimbled Timbled	0.797000	0.020000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Buckoish	0.983000	0.079000	0.012000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
nepnep	0.712000	0.011000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Emmyska	0.773000	0.023000	0.002000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Coaster Dave	0.758000	0.017000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Aracas Dracœpie	0.792000	0.023000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Heav	0.973000	0.050000	0.005000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
are jay	0.820000	0.028000	0.003000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Dylan1234	0.782000	0.020000	0.001000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Wenyunity	0.769000	0.028000	0.007000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
Kebe	0.990000	0.114000	0.016000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	
