Name	Top 5000	Top 1000	Top 500	Top 100	Top 50	Top 10	Top 5	Top 3	Top 1	
Dawncy	1.000000	0.994000	0.957000	0.592000	0.410000	0.104000	0.054000	0.036000	0.019000	
BlackBird_6	1.000000	0.881000	0.704000	0.249000	0.128000	0.026000	0.011000	0.007000	0.003000	
thisisreddawn	1.000000	0.863000	0.690000	0.274000	0.158000	0.028000	0.017000	0.011000	0.002000	
60mo	1.000000	0.856000	0.650000	0.218000	0.112000	0.019000	0.009000	0.005000	0.001000	
Hozen	1.000000	0.863000	0.674000	0.213000	0.126000	0.020000	0.011000	0.006000	0.002000	
TheTraveller.	1.000000	0.849000	0.636000	0.191000	0.103000	0.014000	0.006000	0.003000	0.002000	
Gman	1.000000	0.949000	0.815000	0.315000	0.161000	0.029000	0.014000	0.003000	0.000000	
Ragum	1.000000	0.947000	0.807000	0.323000	0.181000	0.033000	0.015000	0.008000	0.001000	
PizzaSquish	1.000000	0.962000	0.843000	0.357000	0.193000	0.028000	0.011000	0.008000	0.002000	
Daylune	1.000000	0.946000	0.797000	0.304000	0.171000	0.035000	0.011000	0.006000	0.001000	
ArnoobExtra	1.000000	0.954000	0.835000	0.341000	0.180000	0.026000	0.015000	0.009000	0.001000	
！！！	1.000000	0.973000	0.871000	0.387000	0.203000	0.047000	0.023000	0.010000	0.002000	
Xes	1.000000	0.849000	0.645000	0.188000	0.094000	0.011000	0.004000	0.001000	0.000000	
GordonBrown2318	1.000000	0.947000	0.805000	0.347000	0.192000	0.034000	0.017000	0.014000	0.002000	
MetaCyde	1.000000	0.941000	0.791000	0.321000	0.155000	0.030000	0.015000	0.009000	0.000000	
milster08	1.000000	0.964000	0.831000	0.338000	0.199000	0.038000	0.011000	0.006000	0.001000	
Gamey Gaming	1.000000	0.958000	0.857000	0.399000	0.243000	0.053000	0.022000	0.015000	0.002000	
Zafiarox	1.000000	0.967000	0.848000	0.345000	0.186000	0.048000	0.023000	0.011000	0.002000	
uPlatm	1.000000	0.941000	0.767000	0.269000	0.138000	0.022000	0.011000	0.007000	0.001000	
‘Crafty :3’	1.000000	0.896000	0.719000	0.248000	0.137000	0.031000	0.011000	0.010000	0.003000	
Lvii	1.000000	0.949000	0.822000	0.333000	0.200000	0.038000	0.020000	0.011000	0.002000	
kitkatyj	1.000000	0.958000	0.825000	0.323000	0.183000	0.037000	0.018000	0.007000	0.000000	
Catworld	1.000000	0.951000	0.838000	0.370000	0.221000	0.041000	0.012000	0.008000	0.002000	
Shadowleafy	1.000000	0.956000	0.844000	0.391000	0.237000	0.052000	0.030000	0.018000	0.006000	
Christianosc	1.000000	0.825000	0.584000	0.151000	0.077000	0.011000	0.007000	0.005000	0.001000	
Yunnan	1.000000	0.889000	0.688000	0.237000	0.137000	0.021000	0.008000	0.005000	0.002000	
legotd61	1.000000	0.945000	0.801000	0.304000	0.158000	0.024000	0.010000	0.005000	0.001000	
thanos whale.	1.000000	0.794000	0.537000	0.115000	0.049000	0.007000	0.000000	0.000000	0.000000	
Joawzy'	1.000000	0.966000	0.863000	0.372000	0.205000	0.043000	0.021000	0.015000	0.005000	
Basil Star	1.000000	0.938000	0.766000	0.264000	0.122000	0.016000	0.005000	0.002000	0.001000	
PaniniPancake	1.000000	0.890000	0.679000	0.230000	0.121000	0.017000	0.009000	0.004000	0.002000	
Bookworm	1.000000	0.957000	0.846000	0.383000	0.226000	0.048000	0.016000	0.008000	0.004000	
Algotistic	0.890000	0.227000	0.081000	0.012000	0.008000	0.001000	0.000000	0.000000	0.000000	
MoltenAshes	1.000000	0.953000	0.822000	0.293000	0.149000	0.021000	0.008000	0.005000	0.001000	
Coyoboyo	1.000000	0.850000	0.602000	0.121000	0.061000	0.001000	0.001000	0.001000	0.000000	
jade	1.000000	0.964000	0.833000	0.342000	0.201000	0.036000	0.017000	0.011000	0.001000	
Kraezy Dude	1.000000	0.850000	0.607000	0.147000	0.076000	0.011000	0.004000	0.003000	0.001000	
Aleph Squirrel	1.000000	0.870000	0.644000	0.178000	0.078000	0.008000	0.004000	0.003000	0.001000	
Matter	1.000000	0.776000	0.519000	0.100000	0.033000	0.002000	0.000000	0.000000	0.000000	
Dark	1.000000	0.860000	0.654000	0.221000	0.124000	0.020000	0.008000	0.005000	0.001000	
Rex Knight	1.000000	0.818000	0.590000	0.142000	0.065000	0.006000	0.001000	0.001000	0.000000	
BoostGlitch357	1.000000	0.914000	0.701000	0.189000	0.087000	0.011000	0.006000	0.002000	0.000000	
Skyler CRAZY	1.000000	0.864000	0.640000	0.192000	0.086000	0.010000	0.002000	0.002000	0.001000	
Cohaki	1.000000	0.916000	0.749000	0.205000	0.088000	0.014000	0.006000	0.003000	0.001000	
mokeyvspoke	1.000000	0.961000	0.842000	0.379000	0.222000	0.053000	0.026000	0.013000	0.004000	
IceKeyHammer	1.000000	0.973000	0.868000	0.379000	0.205000	0.047000	0.024000	0.014000	0.004000	
Awesome PolarBear	1.000000	0.861000	0.654000	0.180000	0.081000	0.013000	0.008000	0.005000	0.000000	
J_duude	1.000000	0.921000	0.766000	0.259000	0.133000	0.015000	0.007000	0.002000	0.001000	
alexa.fig	1.000000	0.793000	0.526000	0.092000	0.034000	0.001000	0.000000	0.000000	0.000000	
Unofficial Spaghet	1.000000	0.882000	0.595000	0.123000	0.048000	0.005000	0.003000	0.000000	0.000000	
NormalPersonNormalName	1.000000	0.867000	0.678000	0.228000	0.118000	0.022000	0.008000	0.006000	0.000000	
